,,,b391,b392,b393,b394,b395,b396,b397,b398,b399,b400,b401,b402,b403,b404,b405,b406,b407,b408,b409,b410,b411,b412,b413,b414,b415,b416,b417,b418,b419,b420,b421,b422,b423,b424,b425,b426,b427,b428,b429,b430,b431,b432,b433,b434,b435,b436,b437,b438,b439,b440,b441,b442,b443,b444,b445,b446,b447,b448,,,,,,,,,b457
-67.34568024,-51.15278244,-0.403182983,2,0,2,2,1,3,0,0,1,2,0,0,2,1,0,0,2,1,0,1,1,2,0,0,1,2,0,0,3,1,0,0,0,0,1,2,3,1,2,1,1,1,1,1,1,1,1,0,1,0,2,1,0,0,0,0,1,1,,,,,,,,,
-35.68994904,-83.81235504,181.1349487,2,1,1,2,2,2,0,0,1,2,0,0,1,1,0,0,2,4,0,0,1,2,0,0,1,1,0,0,2,1,0,0,0,0,1,1,2,1,1,1,1,1,0,0,1,2,0,0,0,0,1,3,0,1,0,0,2,0,,,,,,,,,
-80.07509613,-97.82231903,-154.9737549,2,2,2,0,1,2,0,0,1,2,0,0,2,1,0,0,2,1,1,1,1,2,0,0,2,3,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,1,1,0,1,1,2,1,2,2,1,1,0,0,,,,,,,,,
62.87545776,-54.88827133,-41.20027161,2,1,2,1,1,1,0,0,2,2,0,0,3,1,0,1,1,1,2,3,2,2,0,0,1,3,0,0,2,1,0,0,0,0,0,0,2,2,0,0,1,0,1,2,1,1,3,2,3,1,4,2,2,1,2,1,0,0,,,,,,,,,
-26.63230896,74.65380859,169.1774292,3,0,1,1,2,2,1,1,1,2,0,0,2,1,0,1,3,2,1,1,1,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,2,1,1,2,2,0,1,2,0,0,0,0,0,0,,,,,,,,,
32.76960754,-67.64130402,-38.54975891,2,2,2,1,1,1,0,0,1,2,0,0,2,1,0,0,1,2,0,0,1,2,0,0,1,3,0,0,2,1,0,0,0,0,1,3,2,1,3,1,3,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,2,1,,,,,,,,,
-31.78158569,-45.10097504,-194.5436401,2,1,2,2,2,2,1,0,1,2,0,0,2,1,0,0,2,2,0,0,1,3,0,0,1,1,0,0,1,1,0,0,0,0,1,1,3,1,1,1,1,0,0,0,1,2,1,0,0,0,2,2,0,0,0,0,1,1,,,,,,,,,
-10.71980286,30.54534912,159.1758118,2,1,2,1,1,2,0,0,1,2,0,0,2,1,0,1,3,1,1,2,1,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,1,2,2,1,3,2,1,1,3,1,1,1,0,0,0,0,,,,,,,,,
56.26300049,-23.77911377,-122.0893478,2,1,2,1,1,2,0,0,1,3,0,0,2,1,0,0,2,1,1,1,1,2,0,0,1,3,0,0,2,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,,,,,,,,,
39.57003784,8.195510864,189.9988098,2,1,2,1,1,2,0,0,1,2,0,0,2,1,0,0,1,2,1,0,1,2,0,0,1,2,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,1,0,1,1,0,1,0,0,1,0,,,,,,,,,
