,,,b391,b392,b393,b394,b395,b396,b397,b398,b399,b400,b401,b402,b403,b404,b405,b406,b407,b408,b409,b410,b411,b412,b413,b414,b415,b416,b417,b418,b419,b420,b421,b422,b423,b424,b425,b426,b427,b428,b429,b430,b431,b432,b433,b434,b435,b436,b437,b438,b439,b440,b441,b442,b443,b444,b445,b446,b447,b448,,,,,,,,,b457
11.81416321,-10.4683609,155.2690125,3,1,3,1,1,1,0,0,1,2,0,0,2,1,1,1,2,2,0,0,1,2,0,0,1,2,0,0,2,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,0,,,,,,,,,
86.61448669,40.72383118,149.9205017,1,1,1,1,1,2,0,0,1,2,0,0,2,1,0,0,2,2,0,1,1,2,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,2,1,1,1,0,0,0,2,2,0,0,0,0,3,2,1,1,1,1,0,1,,,,,,,,,
69.6832428,-31.68206787,177.8797607,2,2,4,1,0,2,0,0,1,3,0,0,2,1,0,0,2,1,1,1,1,2,0,0,1,3,0,0,2,1,0,0,0,0,0,1,2,2,1,1,0,0,0,1,1,2,1,0,1,0,1,2,2,0,2,3,2,2,,,,,,,,,
64.39682007,-63.78369141,-132.7267456,3,1,3,1,1,1,0,0,1,2,0,0,2,1,0,0,2,2,0,1,1,2,0,0,1,2,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,4,1,,,,,,,,,
17.49992371,-76.15855408,19.86097717,3,1,3,1,1,1,0,0,1,2,0,0,3,1,0,1,3,2,1,3,1,2,0,0,1,2,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,2,0,3,2,1,1,1,0,0,0,1,0,,,,,,,,,
-68.17679596,-83.79863739,-123.2232437,2,1,2,1,1,2,0,1,1,2,0,0,2,1,0,0,1,1,1,1,1,2,0,0,1,2,0,0,2,1,0,0,0,0,0,1,2,2,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,
-15.0240097,-93.48731232,-61.44290161,2,1,1,1,1,2,0,0,1,2,0,0,3,1,1,1,2,1,1,1,1,3,0,0,1,3,0,0,2,1,0,0,0,0,0,1,2,2,0,0,0,0,2,1,3,1,2,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,
17.75951385,-3.48285675,102.9963074,2,1,2,1,1,1,0,0,1,2,0,0,2,1,0,0,2,2,0,1,1,2,0,0,1,2,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,1,1,2,2,,,,,,,,,
11.27565002,-48.15155411,-51.77593994,2,1,1,2,1,4,0,0,1,2,0,0,3,1,0,0,2,2,0,0,0,3,0,0,1,3,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,3,0,0,0,0,2,3,0,0,1,1,3,3,,,,,,,,,
-71.00671387,-95.07811737,147.4579468,2,1,2,1,1,2,0,0,1,2,0,0,3,1,1,2,2,1,2,1,1,2,0,0,1,3,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1,0,0,1,0,,,,,,,,,
23.3276825,1.757522583,125.4650879,2,1,2,1,1,3,0,0,1,2,0,0,2,1,0,0,1,3,0,0,1,2,0,0,1,1,0,0,2,1,0,0,0,0,1,1,2,1,1,1,2,1,0,0,1,2,0,0,0,0,2,3,1,1,0,0,1,0,,,,,,,,,
27.00119019,-94.31746674,-38.53173828,2,0,2,1,1,2,0,0,1,3,0,0,3,2,0,1,1,4,0,0,1,2,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,2,2,0,0,0,0,2,5,0,0,0,1,6,2,,,,,,,,,
55.61955261,-87.96200562,169.0252686,3,0,2,1,1,2,0,0,1,2,0,0,3,1,0,1,1,3,0,0,1,2,0,0,1,2,0,0,2,1,0,0,0,0,2,3,2,1,2,1,2,2,1,0,2,2,1,0,0,0,0,1,0,0,0,0,3,1,,,,,,,,,
-73.00601196,-71.73618317,162.5864868,2,1,2,1,1,2,0,0,1,3,0,0,2,1,0,1,1,1,0,0,1,3,0,0,1,2,0,0,2,1,0,0,0,0,1,3,3,1,3,2,1,2,1,0,1,3,0,0,0,0,0,2,0,0,0,0,3,1,,,,,,,,,
-36.59286499,9.157814026,57.98071289,2,1,2,1,1,2,0,0,1,2,0,0,3,2,0,0,1,3,0,1,1,2,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,1,0,2,1,0,0,2,2,0,0,0,1,1,3,1,0,0,0,3,0,,,,,,,,,
-95.58542633,-92.71154022,191.8475037,2,1,3,1,1,1,0,0,1,3,0,0,2,1,0,1,2,1,3,2,1,2,0,0,1,2,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,2,1,1,2,0,1,0,0,,,,,,,,,
93.47973633,-77.58982849,120.8722229,2,1,2,1,1,2,0,0,1,2,0,0,2,1,0,0,1,1,0,0,1,2,0,0,1,2,0,0,2,1,0,0,0,0,1,1,2,2,1,1,1,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,,,,,,,,,
-97.32472992,-80.46968842,-32.59396362,2,1,2,1,1,2,0,0,1,2,0,0,2,1,0,1,1,1,0,0,1,2,0,0,1,2,0,0,2,1,0,0,0,0,1,1,2,1,1,1,1,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,
34.96662903,-77.74719238,106.3256836,2,1,2,1,1,2,0,0,1,2,0,0,3,1,0,0,2,2,0,1,1,2,0,0,1,2,0,0,2,1,0,0,0,0,0,1,2,1,1,0,1,0,0,1,2,1,1,0,0,1,3,2,1,1,0,0,2,1,,,,,,,,,
-53.03011703,-70.00469208,-176.4631805,2,1,2,1,1,2,0,1,1,2,0,0,2,1,0,0,1,1,1,0,1,2,0,0,1,2,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,1,0,1,1,0,0,0,0,0,0,,,,,,,,,
-93.36579895,-98.48995209,157.0415649,2,1,1,1,2,2,0,0,1,1,0,0,1,1,1,1,2,1,1,2,1,2,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,1,0,1,1,2,0,2,0,1,1,0,0,,,,,,,,,
-92.96924591,-32.99861908,187.4447327,1,3,2,1,0,1,0,2,1,2,0,0,2,1,1,0,2,1,0,0,1,2,0,1,0,3,1,0,3,1,0,1,0,0,0,1,1,4,2,1,0,0,0,2,1,3,0,1,1,0,2,1,0,0,2,1,1,2,,,,,,,,,
93.42494202,-97.10676575,-26.14630127,3,1,2,1,1,1,0,0,1,1,0,0,2,1,0,0,2,2,0,2,1,2,0,0,1,2,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,2,0,1,1,1,0,1,0,0,0,1,1,,,,,,,,,
-4.535224915,-84.10777283,159.1587219,2,1,1,1,1,3,0,0,1,2,0,0,3,1,0,1,1,2,1,0,1,3,0,0,1,1,0,0,2,1,0,0,0,0,1,1,2,1,1,0,2,1,1,1,2,1,1,1,1,1,1,1,0,0,0,1,2,2,,,,,,,,,
72.47341919,-96.35609436,-93.05857086,2,1,2,1,1,2,0,0,1,3,0,0,3,1,0,0,1,2,0,0,1,3,0,0,1,2,0,0,2,0,0,0,0,0,0,1,2,2,2,0,1,0,0,0,1,3,0,0,0,0,1,2,0,0,0,0,3,1,,,,,,,,,
-74.48252106,-92.46211243,193.0465088,3,1,2,1,1,2,0,0,1,1,0,0,2,1,0,1,3,1,1,2,1,1,1,0,1,2,0,0,3,1,0,0,0,0,0,1,1,1,0,0,1,0,1,2,3,1,3,1,2,1,1,1,1,1,0,0,0,1,,,,,,,,,
50.14155579,-77.70478821,100.6669006,2,1,2,1,1,1,0,1,1,2,0,0,2,1,0,0,1,2,0,0,1,2,0,0,1,2,0,0,2,1,0,0,0,0,0,1,1,2,1,0,0,0,0,1,1,1,1,0,0,0,2,2,0,0,0,0,2,1,,,,,,,,,
-67.74105835,11.56400299,-176.019989,2,1,1,1,2,2,0,0,1,1,0,0,1,1,0,0,2,1,0,2,1,3,0,0,1,1,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,1,1,2,1,2,1,1,1,1,0,1,1,0,0,0,0,,,,,,,,,
-24.13611603,-87.58112335,-108.1472244,2,1,1,1,1,3,0,0,1,2,0,0,3,2,0,0,3,2,1,3,0,3,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,2,0,0,0,1,1,1,1,1,0,0,0,0,,,,,,,,,
-85.13666534,-98.92685699,106.6026306,2,1,2,1,1,2,0,0,1,2,0,0,3,1,0,1,2,1,0,1,1,2,0,0,1,3,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,2,0,0,0,0,1,2,0,2,0,0,1,0,,,,,,,,,
-92.21298981,-98.34562683,-101.4026871,3,1,2,1,2,2,0,0,1,1,0,0,2,1,0,1,3,1,0,1,1,3,1,0,1,2,0,0,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,0,1,1,1,1,0,0,0,0,0,,,,,,,,,
-0.477256775,-29.19337463,-131.8770447,3,1,2,1,1,2,0,0,1,2,0,0,2,1,0,0,2,1,0,1,1,2,0,0,1,2,0,0,3,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,2,0,1,0,1,1,1,0,0,0,0,1,1,,,,,,,,,
85.99734497,-10.61579132,69.50912476,2,1,2,1,1,3,0,0,1,2,0,0,3,1,0,1,2,2,1,0,1,3,0,0,1,2,0,0,1,1,0,0,0,0,0,1,2,1,1,1,1,1,0,0,1,2,0,0,0,0,1,2,1,0,1,1,1,0,,,,,,,,,
-5.006149292,63.71435547,-154.0700378,2,1,2,1,1,3,0,0,1,3,0,0,2,1,0,0,1,2,1,1,1,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,0,1,0,0,2,2,1,0,2,2,1,1,,,,,,,,,
88.06083679,-92.9670105,92.86688232,2,1,2,1,1,2,0,0,1,2,0,0,3,1,0,0,2,2,0,0,1,2,0,0,1,3,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,1,1,0,1,0,1,2,0,0,0,0,3,2,,,,,,,,,
-70.32823181,-60.73274612,36.87136841,2,1,2,1,1,2,0,1,1,2,0,0,3,1,0,0,2,1,2,2,1,2,0,0,1,2,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3,2,1,1,2,1,1,1,0,0,0,1,1,2,,,,,,,,,
-79.0443573,10.82701874,-140.3742371,1,0,1,1,2,2,0,0,1,3,0,0,2,1,0,0,1,2,0,0,2,3,0,0,2,1,0,0,1,1,0,0,0,0,1,0,2,2,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,2,1,,,,,,,,,
79.51231384,61.15719604,176.1617737,2,1,2,1,1,3,0,0,1,1,0,0,2,1,0,0,2,2,0,1,1,2,0,0,1,1,0,0,2,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,1,1,,,,,,,,,
-23.85385132,-93.18752289,-142.6307831,3,1,3,1,1,1,0,0,1,2,0,0,2,1,0,0,2,1,0,1,1,2,0,0,1,2,0,0,2,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,2,1,0,1,0,0,1,0,0,0,0,3,1,,,,,,,,,
