,,,b295,b296,b297,b298,b299,b300,b301,b302,b303,b304,b305,b306,b307,b308,b309,b310,b311,b312,b313,b314,b315,b316,b317,b318,b319,b320,b321,b322,b323,b324,b325,b326,b327,b328,b329,b330,b331,b332,b333,b334,b335,b336,b337,b338,b339,b340,b341,b342,b343,b344,b345,b346,b347,b348,b349,b350,b351,b352,b353,b354,b355,b356,b357,b358,b359,b360,b361,b362,b363,b364,b365,b366,b367,b368,b369,b370,b371,b372,b373,b374,b375,b376,b377,b378,b379,b380,b381,b382,b383,b384,b385,b386,b387,b388,b389,b390
26.57339478,-1.713531494,18.81362915,2,1,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,1,1,5,2,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,3,1,3,0,1,4,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
-9.539039612,2.433570862,-127.4427795,1,2,0,0,0,0,0,0,2,1,1,2,0,0,1,2,0,0,0,0,0,2,2,1,2,1,1,1,1,3,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,2,1,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-13.88772583,94.97262573,132.7931824,2,2,0,0,0,0,0,0,1,1,1,2,0,0,2,1,0,0,0,0,2,2,3,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,1,0,1,3,0,1,0,0,1,0,0,0,1,1,3,1,2,1,4,0,1,3,1,1,1,1,1,0,0,2,0,0,0,0,1,0,1,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.29626465,-96.2436142,195.3681946,1,1,1,1,0,2,0,0,2,1,1,2,0,0,1,1,0,0,0,0,0,2,5,1,3,2,2,1,2,2,2,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,2,2,1,4,1
-99.91415405,-55.69983673,194.134613,2,2,1,0,0,0,0,0,2,0,2,3,1,1,1,3,5,1,1,1,0,0,1,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,7,2,4,6,1,1,2,2,3,0,0,0,3,1,0,1,3,2,3,1
-59.13910294,2.044425964,62.13348389,1,3,0,0,1,0,0,0,2,2,1,2,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,5,7,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-69.4889679,59.45191956,197.1816406,2,1,0,0,1,1,0,0,3,2,3,2,0,0,1,2,0,1,0,0,0,0,0,2,0,0,0,0,2,3,2,2,1,2,1,0,1,0,0,1,3,2,2,1,1,1,4,2,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-75.76325989,76.77427673,-157.0457153,1,2,0,0,0,1,0,0,2,1,0,0,1,1,2,1,2,0,1,0,0,0,2,2,1,0,0,0,1,4,1,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,1,1,1,0,2,0,1,1,2,5,1
41.34346008,-54.93378067,-37.70083618,1,2,0,0,0,1,0,0,2,2,2,2,1,3,3,1,2,3,3,1,1,0,1,1,0,1,1,0,1,2,1,1,0,0,3,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,7,1,1,2,2,1,1,2,1,2,7,1
44.95376587,66.25941467,-178.4515533,1,3,0,0,0,1,0,0,3,2,2,2,0,1,3,2,2,1,1,0,0,0,0,3,0,0,0,0,1,5,1,2,1,1,0,1,0,0,0,0,2,2,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
