,,,b295,b296,b297,b298,b299,b300,b301,b302,b303,b304,b305,b306,b307,b308,b309,b310,b311,b312,b313,b314,b315,b316,b317,b318,b319,b320,b321,b322,b323,b324,b325,b326,b327,b328,b329,b330,b331,b332,b333,b334,b335,b336,b337,b338,b339,b340,b341,b342,b343,b344,b345,b346,b347,b348,b349,b350,b351,b352,b353,b354,b355,b356,b357,b358,b359,b360,b361,b362,b363,b364,b365,b366,b367,b368,b369,b370,b371,b372,b373,b374,b375,b376,b377,b378,b379,b380,b381,b382,b383,b384,b385,b386,b387,b388,b389,b390
0.195625305,17.34417725,141.9973755,1,2,0,0,0,0,0,0,2,1,1,2,0,1,2,1,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,1,0,5,2,2,3,1,2,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0
98.712677,65.32531738,-104.0696411,1,2,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,2,1,0,1,2,1,1,1,1,1,1,3,1,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,1,1,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92.48016357,-40.53510284,-152.1670532,1,2,0,0,0,0,0,0,3,1,2,3,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,9,3,8,2,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1
-85.2828064,70.76855469,-70.72360229,1,1,0,0,0,0,0,0,2,2,1,2,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,5,1,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-69.45458221,-87.3762207,72.22531128,1,2,0,1,0,1,0,0,2,1,2,3,0,0,2,2,0,0,0,0,0,1,2,2,1,1,2,0,1,1,2,1,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,4,1
-22.53089905,69.05105591,134.7205811,1,2,0,0,0,0,0,0,3,1,1,2,0,0,1,2,0,0,0,0,0,1,1,1,1,0,1,0,1,2,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,5,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,1
96.60787964,-56.08882904,-198.2486267,1,2,1,0,0,0,0,0,4,1,1,3,0,0,1,2,0,0,0,0,0,0,2,2,1,0,0,0,1,2,1,3,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,5,8,3,7,6,1,3,1,3,0,0,0,0,0,1,0,1,0,0,1,1
-30.38007355,-72.94967651,-185.9441833,1,1,0,0,1,2,0,0,2,1,1,2,1,1,2,2,1,1,2,0,0,1,1,3,1,0,1,1,1,1,2,0,1,2,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,3,0,0,0,0,7,1,1,8,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-63.13657761,-12.21224976,177.1513977,1,1,0,0,0,1,0,0,2,1,1,1,0,0,1,2,0,0,0,0,1,1,1,1,2,1,2,1,1,3,2,1,0,1,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,2,2,1,1,1,0,0,1,0,0,0,0,2,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0
74.76394653,55.8458252,-11.80778503,1,2,0,0,0,0,0,0,2,1,1,2,0,0,1,2,0,0,0,0,0,1,2,1,1,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
