,,,b295,b296,b297,b298,b299,b300,b301,b302,b303,b304,b305,b306,b307,b308,b309,b310,b311,b312,b313,b314,b315,b316,b317,b318,b319,b320,b321,b322,b323,b324,b325,b326,b327,b328,b329,b330,b331,b332,b333,b334,b335,b336,b337,b338,b339,b340,b341,b342,b343,b344,b345,b346,b347,b348,b349,b350,b351,b352,b353,b354,b355,b356,b357,b358,b359,b360,b361,b362,b363,b364,b365,b366,b367,b368,b369,b370,b371,b372,b373,b374,b375,b376,b377,b378,b379,b380,b381,b382,b383,b384,b385,b386,b387,b388,b389,b390
-57.45791626,74.74807739,156.3013,1,2,0,0,1,1,0,0,2,2,3,2,1,1,1,2,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,2,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,5,1,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,1,1
-61.10440063,99.95176697,155.5546875,2,3,1,0,0,0,0,1,2,1,2,2,1,1,1,1,1,1,1,2,0,0,1,4,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,1,1,1,1,0,2,2,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,3,0,0,6,1,6,3,1,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0
-60.80120087,90.18202209,182.0670471,1,2,0,0,1,3,0,0,2,1,3,1,0,0,1,2,0,0,0,0,0,0,1,4,0,0,0,0,0,2,2,1,1,2,0,0,1,0,0,0,0,0,1,1,1,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,8,0,0,1,2,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-55.66255951,97.227005,190.3522949,1,2,0,0,0,0,0,0,2,1,1,1,0,0,1,2,0,0,0,0,1,1,1,2,2,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,3,3,1,1,1,0,0,2,0,1,0,1,0,2,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
-65.8508606,68.04638672,153.1657104,2,2,0,0,1,1,0,0,2,1,3,1,0,0,2,2,0,1,0,1,0,0,1,2,0,0,0,0,0,1,1,2,1,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-48.99467087,-61.70613098,-53.95555115,1,1,0,0,0,0,0,0,3,1,0,3,0,1,2,1,2,1,1,0,0,0,1,4,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
55.6330719,99.24867249,116.0896301,1,2,0,0,0,0,0,0,1,2,1,1,1,3,2,0,2,0,2,3,2,1,1,1,2,1,2,2,1,1,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,2,2,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,2
-92.93804169,44.33407593,112.138855,1,2,1,0,0,0,0,0,3,2,1,3,1,1,2,2,1,0,1,0,0,0,1,2,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,1,1,3,0,1,1,0,6,2,1,1,1,1,2,1,1,1,5,1
-59.86092758,78.22155762,195.3917847,0,3,0,0,0,1,0,0,2,2,1,1,1,2,3,1,3,1,3,1,0,0,0,2,0,0,0,0,2,4,3,4,0,0,4,0,0,0,1,0,2,2,2,0,1,0,1,0,0,0,0,1,0,2,0,1,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,2,0,0,1,0,0,3,1,1,1,0,1,0,0,0,0,1,1
54.22813416,58.48770142,-156.1725922,1,3,0,0,1,2,0,0,1,2,1,0,0,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,2,3,2,1,2,1,0,0,0,0,1,2,1,1,0,0,1,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0
-55.99806213,-84.15542603,199.8968506,2,1,0,0,0,0,0,0,2,2,3,4,1,5,1,2,2,1,3,2,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,8,4,2,1,1,3,1,2,1,2,3,4
