,,,b295,b296,b297,b298,b299,b300,b301,b302,b303,b304,b305,b306,b307,b308,b309,b310,b311,b312,b313,b314,b315,b316,b317,b318,b319,b320,b321,b322,b323,b324,b325,b326,b327,b328,b329,b330,b331,b332,b333,b334,b335,b336,b337,b338,b339,b340,b341,b342,b343,b344,b345,b346,b347,b348,b349,b350,b351,b352,b353,b354,b355,b356,b357,b358,b359,b360,b361,b362,b363,b364,b365,b366,b367,b368,b369,b370,b371,b372,b373,b374,b375,b376,b377,b378,b379,b380,b381,b382,b383,b384,b385,b386,b387,b388,b389,b390
-6.811729431,-7.990112305,-46.21252441,2,2,0,1,0,0,0,0,2,1,1,2,0,2,1,1,1,0,0,0,1,1,2,1,1,0,2,1,1,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,3,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98.01856995,98.76785278,-123.6025314,2,1,0,0,0,0,0,1,2,2,1,2,1,2,2,1,1,1,1,0,1,1,2,1,1,2,0,2,2,3,1,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2,4,1,1,0,2,2,1,2,0,1,1,0,1,0,0,1,2,1,0,1,0,0,4,0,0,0,0,0,0,0,0,2,1,1,1,1,3,1,1,0,4,3,1
-85.13840485,-32.05139923,198.8950195,1,1,0,0,0,0,0,0,2,1,1,1,0,2,2,1,1,1,0,0,0,3,3,1,2,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,2,3,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,2,1,0,3,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
36.19943237,96.18721008,195.3893433,2,2,0,0,1,2,0,1,2,2,2,2,1,0,1,2,0,0,0,0,2,3,3,1,1,3,1,2,2,3,2,1,2,2,0,0,0,0,1,0,2,3,2,0,0,1,2,1,0,0,0,0,1,0,1,2,3,0,2,0,1,1,1,1,3,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-65.24572754,93.2013092,182.5618591,0,2,0,0,0,0,0,0,1,2,0,2,1,1,2,1,1,1,2,1,1,0,1,3,0,0,0,0,1,2,1,1,0,0,4,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50.94372559,87.00045776,174.8192444,1,2,1,0,1,4,0,0,2,1,3,1,0,0,1,3,0,0,0,0,0,0,2,2,1,0,0,0,2,3,4,1,1,4,4,1,0,0,1,2,1,0,2,1,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87.0065155,57.83079529,38.37216187,1,1,0,1,1,2,0,0,3,1,2,2,1,3,2,1,2,1,1,1,0,1,2,2,1,0,1,0,1,2,3,1,3,1,6,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-97.34155273,93.74653625,81.3243103,1,3,0,0,0,0,0,0,2,1,1,1,1,1,2,1,1,1,1,0,0,0,1,2,0,0,0,0,2,2,1,2,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
-79.98833466,-95.53132629,191.2554626,1,3,0,1,1,1,0,0,2,1,1,1,2,4,3,1,3,2,3,1,0,0,1,2,0,0,0,0,2,2,3,3,2,1,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,2,0,0,5,1,3,6,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72.41459656,-42.99799728,177.3264771,2,2,0,0,1,0,0,0,2,0,2,1,0,0,1,2,1,0,0,0,0,1,1,1,1,0,2,0,1,3,2,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,5,1,1,5,1,0,0,1,1,1,1,0,5,1,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-2.043945313,-56.69943619,195.0587158,1,2,0,0,1,0,1,0,2,1,2,2,0,0,1,3,0,0,0,0,0,0,1,2,0,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,1,0,0,0,0,3,1,2,2,6,1,1,5,0,1,0,2,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
89.15898132,10.95442963,-104.841423,1,2,0,0,1,0,0,0,2,1,1,1,1,1,2,1,3,1,2,1,0,0,1,3,0,0,0,0,1,1,0,1,0,0,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
-59.2159462,93.00671387,193.0107117,1,2,0,0,0,0,0,0,2,1,1,2,0,1,1,2,1,0,0,0,0,0,1,2,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1
49.59936523,33.21856689,176.9332581,1,1,0,0,0,0,0,0,2,1,1,3,0,0,1,3,0,0,0,0,0,0,1,3,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,5,2,2,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
