,,,b295,b296,b297,b298,b299,b300,b301,b302,b303,b304,b305,b306,b307,b308,b309,b310,b311,b312,b313,b314,b315,b316,b317,b318,b319,b320,b321,b322,b323,b324,b325,b326,b327,b328,b329,b330,b331,b332,b333,b334,b335,b336,b337,b338,b339,b340,b341,b342,b343,b344,b345,b346,b347,b348,b349,b350,b351,b352,b353,b354,b355,b356,b357,b358,b359,b360,b361,b362,b363,b364,b365,b366,b367,b368,b369,b370,b371,b372,b373,b374,b375,b376,b377,b378,b379,b380,b381,b382,b383,b384,b385,b386,b387,b388,b389,b390
-2.7371521,92.01266479,33.54429626,1,2,0,0,0,1,0,0,2,1,2,2,0,0,1,2,0,0,0,0,1,2,2,1,2,1,1,2,1,1,1,2,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,2,1,2,1,3,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-97.35783386,10.03765869,-107.0699005,2,2,0,0,0,1,0,0,1,1,1,2,0,0,1,3,0,0,0,0,2,1,3,2,3,1,3,1,2,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,2,0,3,1,6,2,2,5,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84.33117676,87.56506348,183.0746765,1,2,0,0,1,1,0,0,3,1,2,1,0,0,1,1,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
73.46682739,82.90930176,-54.01690674,1,2,0,0,0,0,0,0,2,0,1,2,0,1,1,1,2,1,2,0,0,0,1,1,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,0,1,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0
-33.17891693,-4.010810852,186.5087891,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,2,1,0,1,0,0,1,1,1,1,1,0,0,1,3,3,2,1,1,0,0,0,0,0,0,1,2,1,1,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-74.69499969,-44.42712021,130.4761353,2,2,0,0,1,2,0,0,2,1,2,1,0,0,1,3,0,0,0,0,2,3,3,1,3,2,4,2,1,2,2,1,1,2,0,0,0,0,0,0,2,2,1,1,1,4,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,8,2,2,6,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-35.72473145,-37.07086945,61.30148315,1,2,0,0,0,0,0,0,2,1,1,3,1,1,2,1,1,0,1,2,0,0,1,2,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,1,1,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
67.93572998,46.7368927,-192.9012451,1,1,0,0,0,0,0,0,2,1,2,2,0,0,1,1,0,0,1,0,0,2,1,0,1,1,1,1,1,3,1,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
10.83247375,73.01634216,-156.0428314,1,2,0,0,0,1,0,0,2,1,2,2,0,0,1,2,0,0,0,0,1,1,1,1,1,0,1,1,1,2,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,4,1,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-83.50518799,43.51947021,140.4596863,1,2,0,0,1,2,0,0,1,1,2,1,1,2,2,1,1,1,1,1,0,0,1,2,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,1,0,0,4,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24.2566452,97.0880127,199.8637085,2,3,0,0,0,0,0,0,2,1,1,3,0,1,2,2,0,0,0,1,1,0,2,3,1,0,1,0,1,2,1,3,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,1,2,1,6,1,5,3,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0
-44.03189468,66.64393616,170.7971191,1,2,0,0,0,0,0,0,2,1,1,2,0,1,2,1,1,0,0,0,1,0,2,2,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,8,2,8,7,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
-79.00774384,80.19755554,-37.71461487,1,2,0,0,0,0,0,0,3,1,1,2,1,0,1,2,1,1,1,1,0,0,0,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.62643433,99.03283691,137.7449036,1,2,0,0,1,2,0,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,2,2,1,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
